	human	cattle
Scarabaeus_goryi	56	0
Scarabaeus_palemo	145	0
Allogymnopleurus_umbrinus	403	0
Garreta_nitens	2	0
Gymnopleurus_coerulescens	1643	1
Gymnopleurus_fulgidus	129	0
Gymnopleurus_profanus	209	0
Gymnopleurus_puncticollis	1657	0
Anachalcos_aurescens	1	1
Anachalcos_suturalis	9	61
Neosisyphus_armatus	51	0
Neosisyphus_baoule	1	0
Neosisyphus_gladiator	2	0
Neosisyphus_paschalidisae	1	101
Sisyphus_biarmatus	58	0
Sisyphus_costatus	125	0
Sisyphus_desaegeri	6	0
Sisyphus_goryi	4237	1634
Sisyphus_seminulum	7906	741
Catharsius_crassicornis	107	107
Catharsius_eteocles	7	0
Catharsius_sesostris	4	0
Copris_carmelita	4	0
Copris_coriarius	1	0
Copris_interioris	35	433
Copris_orion	0	115
Copris_renwarti	14	48
Litocopris_punctiventris	0	11
Metacatharsius_abortivus	332	0
Metacatharsius_inermis	5	1
Metacatharsius_tchadensis	39	2
Coptorhina_subaenea	0	0
Heliocopris_antenor	4	6
Pedaria_coprinarum	28	739
Pedaria_dedei	1	119
Pedaria_durandi	0	39
Pedaria_humana	30	3
Pedaria_renwarti	111	79
Onitis_alexis	0	28
Onitis_cupreus	12	0
Onitis_reichei	0	44
Cyptochirus_distinctus	0	19
Drepanocerus_caelatus	8	3
Drepanocerus_endroedyi	10	454
Drepanoderus_laticollis	232	2044
Drepanocerus_sulcicollis	0	20
Euoniticellus_intermedius	14	2119
Euoniticellus_parvus	82	1252
Oniticellus_formosus	0	41
Oniticellus_planatus	0	55
Tiniocellus_spinipes	2295	1079
Caccobius_auberti	2936	1882
Caccobius_cavatus	133	58
Caccobius_ferrugineus	39	0
Caccobius_ivorensis	982	42
Caccobius_lamottei	1	0
Caccobius_mirabilepunctatus	25	2
Caccobius_punctatissimus	22	2
Cambefortius_lamizanai	23	0
Cleptocaccobius_balthasarianus	75	15
Cleptocaccobius_convexifrons	127	43
Clepocaccobius_dorbignyi	42	0
Cleptocaccobius_signaticollis	850	33
Cleptocaccobius_uniseries	1553	799
Digitonthophagus_gazella	253	664
Euonthophagus_carbonarius	213	9
Milichius_apicalis	11	56
Milichius_serratus	16	91
Onthophagus_altidorsis	64	0
Onthophagus_atridorsis	62	0
Onthophagus_baoule	69	0
Onthophagus_basakata	6	0
Onthophagus_bidens	852	2
Onthophagus_bidentifrons	4	0
Onthophagus_bimarginatus	1	0
Onthophagus_bituberculatus	23	0
Onthophagus_borassi	36	0
Onthophagus_callosipennis	0	0
Onthophagus_cornifrons	61	0
Onthophagus_cribellum	1	3
Onthophagus_cupreus	184	2
Onthophagus_cyanochlorus	59	0
Onthophagus_fimetarius	85	10
Onthophagus_flaviclava	520	18
Onthophagus_flexicornis	2	0
Onthophagus_ghanensis	0	0
Onthophagus_imbellis	0	0
Onthophagus_juvencus	58	1126
Onthophagus_lamottellus	4	0
Onthophagus_lamtoensis	183	1
Onthophagus_latigibber	3	0
Onthophagus_lioides	397	5
Onthophagus_longipilis	21	0
Onthophagus_loudetiae	3	0
Onthophagus_marahouensis	46	1
Onthophagus_marginifer	30	40
Onthophagus_mocquerysi	9	0
Onthophagus_mucronatus	1802	4
Onthophagus_mucronifer	0	1
Onthophagus_necnaevius_in_litt.	24	0
Onthophagus_picatus	1	0
Onthophagus_pullus	1	0
Onthophagus_reticulatus	26	0
Onthophagus_rufonotatus	3165	105
Onthophagus_rufostillans	27	2
Onthophagus_sanguineus	1	0
Onthophagus_sanguinolentus	2	0
Onthophagus_savanicola	2	0
Onthophagus_semivirescens	4	0
Onthophagus_sinuosus	23	0
Onthophagus_subsulcatus	1	0
Onthophagus_tersipennis	171	9
Onthophagus_tripartitus	42	0
Onthophagus_ulula	19	21
Onthophagus_variegatus	19	10
Onthophagus_vinctus	188	17
Onthophagus_vouattouxi	31	0
Onthophagus_vultuosus	4	0
Phalops_iphis	1	0
Phalops_vanellus	48	5
Proagoderus_auratus	38	1
Proagoderus_cambeforti	1	0
Strandius_obliquus	1	0
