	human	elephant	duiker	civets	riverhog
Garreta_ebenus	3	0	0	0	0
Sisyphus_arboreus	109	0	0	0	0
Neosisyphus_angulicollis	13	0	0	0	0
Neosisyphus_basilewskyi	1	0	0	0	0
Catharsius_gorilla	74	5	1	0	0
Catharsius_gorilloides	10	0	0	0	0
Catharsius_lycaon	27	1	0	1	0
Catharsius_ninus	1	0	0	0	0
Copris_amabilis	2	2	0	0	0
Copris_jahi	2	2	7	0	0
Pseudopedaria_grossa	11	0	0	0	0
Pseudopedaria_villiersi	6	1	0	0	0
Heliocopris_coronatus	2	0	0	0	0
Heliocopris_mutabilis	0	1	1	0	1
Paraphytus_aphodioides	0	0	0	0	0
Paraphytus_bechynei	0	0	0	0	0
Pedaria_ovata	11	0	0	0	0
Onitis_androcles	0	2	0	0	0
Onitis_subcrenatus	0	1	0	0	0
Lophodonitis_carinatus	8	2	0	0	0
Liatongus_sjostedti	0	3	0	0	0
Oniticellus_pseudoplanatus	1	2	4	0	0
Tiniocellus_panthera	0	1	0	0	0
Amietina_larrochei	0	0	0	0	0
Caccobius_elephantinus	1	4	0	0	0
Diastellopalpus_anthonyi	1	1	1	0	0
Diastellopalpus_conradti	11	0	0	0	0
Diastellopalpus_gilleti	35	2	2	1	0
Diastellopalpus_laevibasis	0	2	0	0	0
Diastellopalpus_murrayi	8	1	1	1	0
Diastellopalpus_sulciger	13	1	0	1	0
Mimonthophagus_apicehirtus	0	18	0	0	0
Onthophagus_ahenomicans	15	0	0	0	0
Onthophagus_belinga	1	0	0	0	0
Onthophagus_biplagiatus	2	8	3	0	0
Onthophagus_densipilis	90	1	1	0	0
Onthophagus_denudatus	0	3	2	0	0
Onthophagus_depilis	7	0	10	0	0
Onthophagus_erectinasus	3	0	0	0	0
Onthophagus_fasciculiger	0	0	0	0	0
Onthophagus_filicornis	7	0	0	0	0
Onthophagus_fuscidorsis	358	10	0	1	0
Onthophagus_gabonensis	0	0	0	0	0
Onthophagus_gibbidorsis	0	0	0	0	0
Onthophagus_girardinae	1	0	0	0	0
Onthophagus_graniceps	7	0	0	0	0
Onthophagus_grassei	0	0	1	0	0
Onthophagus_gravoti	4	0	0	0	0
Onthophagus_justei	24	0	0	0	0
Onthophagus_laeviceps	80	0	0	0	0
Onthophagus_laminosus	15	0	0	0	0
Onthophagus_pseudoliberianus	2	0	0	2	0
Onthophagus_makokou	1	0	0	0	0
Onthophagus_mpassa	1	0	0	0	0
Onthophagus_orthocerus	11	1	0	2	0
Onthophagus_possoi	64	0	0	0	0
Onthophagus_strictestriatus	1	0	0	0	0
Onthophagus_umbratus	96	5	0	3	0
Proagoderus_opulentus	14	2	0	0	0
Proagoderus_semiiris	65	8	2	1	0
Tomogonus_crassus	50	0	0	0	0
Aphodius_wittei	0	1	0	0	0
Aphodius_plicatus	0	7	0	0	0
Aphodius_gilleti	0	27	0	0	0
Aphodius_cf._motoensis	1	0	0	0	0
Aphodius_principalis	0	13	0	0	0
Aphodius_szekessyi	0	1	0	0	0
Aphodius_incommodus	0	111	0	0	0
Aphodius_aequatorialis	0	23	0	0	0
Aphodius_humator	0	14	0	0	0
Aphodius_multicarinatus	0	4	0	0	0
Aphodius_schoutedeni	2	0	0	0	0
Aphodius_baloghi	0	1	0	0	0
