	human	elephant	buffalo
Garreta_diffinis	2	0	0
Neosisyphus_angulicollis	69	6	0
Neosisyphus_tai	0	9	0
Sisyphus_eburneus	142	6	0
Sisyphus_latus	10	0	0
Catharsius_ninus	1	0	0
Copris_amabilis	7	2	1
Copris_camerunus	0	20	0
Copris_phylax	0	5	0
Copris_tridens	0	70	0
Copris_truncatus	0	2	1
Pseudopedaria_grossa	5	0	0
Heliocopris_dianae	16	9	0
Paraphytus_bechynei	0	0	0
Paraphytus_sancyi	0	0	0
Paraphytus_tai	0	0	0
Allonitis_nasutus	0	1	0
Lophodonitis_carinatus	2	1	0
Onitis_nemoralis	0	12	0
Onitis_subcrenatus	0	41	22
Drepanocerus_strigatus	0	6	1
Drepanoplatynus_gilleti	0	18	3
Euoniticellus_tai	0	32	0
Liatongus_sjostedti	0	204	1
Oniticellus_pseudoplanatus	0	346	61
Tiniocellus_pahthera	0	11	0
Amietina_eburnea	0	0	0
Caccobius_cribrarius	0	83	1
Caccobius_cyclotis	0	12	0
Caccobius_elephantinus	0	380	0
Caccobius_tai	1	43	10
Diastellopalpus_laevibasis	3	20	0
Diastellopalpus_noctis	25	2	0
Diastellopalpus_tridens	24	6	0
Milichus_inaequalis	0	1	0
Milichus_merzi	3	33	0
Mimonthophagus_apicehirtus	0	6	0
Onthophagus_atronitidus	165	2	0
Onthophagus_bartosi	0	0	0
Onthophagus_curvifrons	1	1	0
Onthophagus_densipilis	87	0	0
Onthophagus_denticulatus	26	0	0
Onthophagus_denudatus	49	1	0
Onthophagus_depilis	1	0	2
Onthophagus_deplanatus	7	0	0
Onthophagus_feai	2	0	0
Onthophagus_foulliouxi	4	0	0
Onthophagus_fuscatus	298	3	0
Onthophagus_fuscidorsis	97	1	0
Onthophagus_gravoti	14	0	0
Onthophagus_hilaridis	5	0	0
Onthophagus_hilaris	1	5	0
Onthophagus_ieti	0	4	0
Onthophagus_infaustus	1	0	0
Onthophagus_inidianus	10	0	0
Onthophagus_laeviceps	114	1	0
Onthophagus_laminosus	4	0	0
Onthophagus_liberianus	67	0	0
Onthophagus_matae	1	0	0
Onthophagus_orthocerus	2	0	0
Onthophagus_pleurogonus	4	0	0
Onthophagus_rectorispauliani	0	0	0
Onthophagus_rufopygus	123	0	0
Onthophagus_semiviridis	44	1	0
Onthophagus_strictestriatus	32	2	0
Onthophagus_synceri	1	0	3
Onthophagus_taiensis	3	0	0
Onthophagus_tenuistriatus	26	1	0
Onthophagus_vesanus	0	58	0
Proagoderus_ritsemai	7	1	0
Strandius_tigrinus	0	17	0
Tomogonus_crassus	0	11	0
