	dog	sheep
Aphodius_johnsoni	1227	1
Aphodius_consputus	134	47
Onthophagus_coenobita	53	5
Aphodius_lineolatus	36	17
Onthophagus_taurus	21	24
Aphodius_luridus	0	27
Onthophagus_grossepunctatus	10	13
Onthophagus_ruficapillus	13	4
Thorectes_intermedius	0	15
Aphodius_quadrimaculatus	0	12
Onthophagus_furcatus	0	11
Aphodius_convexus	0	8
Aphodius_erraticus	2	6
Euoniticellus_fulvus	0	8
Scarabaeus_laticollis	0	3
Onthophagus_vacca	0	3
Aphodius_foetidus	2	0
Aphodius_merdarius	0	2
Bubas_bison	0	2
Onthophagus_opacicollis	0	2
