	warthog	buffalo	hippo
Liatongus_militaris	410	194	343
Tiniocellus_spinipes	216	125	22
Euoniticellus_triangulatus	105	23	38
Digitonthophagus_gazella	73	39	2
Euoniticellus_intermedius	21	76	12
Onitis_uncinatus	22	27	4
Neosisyphus_spinipes	25	5	21
Onitis_alexis	12	27	2
Drepanocerus_kirbyi	30	4	3
Onthophagus_excisiceps	28	7	0
Onthophagus_filicornis	26	3	2
Sisyphus_crispatus	14	9	0
Onitis_viridulus	0	10	7
Onitis_sphinx	0	10	2
Euoniticellus_parvus	3	2	1
Onthophagus_fimetarius	2	2	0
Eodrepanus_bechynei	1	2	0
Eodrepanus_parallelus	0	0	3
Heliocopris_colossus	0	0	2
Eodrepanus_fastiditus	2	0	0
Catharsius_neptunus	1	0	0
Heliocopris_hamadryas	0	1	0
Onitis_robustus	0	0	1
Oniticellus_planatus	0	1	0
Onthophagus_cf_bicavifrons	1	0	0
