	cattle	human	pig
Ateuchus_aff._carbonarius	0	15	3
Ateuchus_aff._puncticollis	2	3	2
Ateuchus_sp.1	4	17	1
Ateuchus_sp.2	2	7	2
Genieridium_bidens	3	14	2
Trichillum_externepunctatum	13	170	63
Uroxys_aff._corporaali	8	351	31
Uroxys_sp.	469	222	154
Canthidium_aff._barbacenicum	333	646	178
Canthidium_aff._breve	0	6	0
Canthidium_aff._pinotoides	0	2	0
Canthidium_aff._viride	38	109	10
Canthidium_sp.	0	0	0
Dichotomius_aff._carbonarius	0	0	0
Dichotomius_aff._cuprinus	1	29	3
Dichotomius_bos	0	7	0
Dichotomius_glaucus	2	56	9
Dichotomius_nisus	6	25	11
Dichotomius_opacipennis	16	59	6
Dichotomius_sexdentatus	2	0	2
Dichotomius_zikani	0	14	2
Ontherus_appendiculatus	19	41	18
Ontherus_digitatus	0	0	0
Anomiopus_pereirai	1	0	0
Canthon_aff._tristis	0	0	0
Canthon_chalybaeus	1	8	0
Canthon_histrio	0	11	3
Canthon_obscuriellus	0	3	0
Canthon_virens	44	12	46
Canthon_sp._1	3	0	4
Canthon_sp._2	0	3	0
Deltochilum_aff._komareki	21	100	9
Malagoniella_puncticollis	0	1	0
Eurysternus_caribaeus	4	0	2
Eurysternus_nigrovirens	0	0	2
Digitonthophagus_gazella	0	0	0
Onthophagus_aff._hirculus	222	404	202
Coprophanaeus_spitzi	0	2	0
Diabroctis_mimas	0	0	0
Diabroctis_mirabilis	0	3	0
Oxysternon_palemo	2	4	0
Phanaeus_kirbyi	2	3	0
Phanaeus_palaeno	0	13	2
