	cattle	human	pig
Ateuchus_aff._carbonarius	0	0	0
Ateuchus_aff._puncticollis	8	13	9
Ateuchus_sp.1	2	14	7
Ateuchus_sp.2	0	0	0
Genieridium_bidens	89	382	112
Trichillum_externepunctatum	57	741	307
Uroxys_aff._corporaali	0	0	0
Uroxys_sp.	0	0	0
Canthidium_aff._barbacenicum	0	7	5
Canthidium_aff._breve	0	0	0
Canthidium_aff._pinotoides	5	41	7
Canthidium_aff._viride	0	0	0
Canthidium_sp.	0	2	1
Dichotomius_aff._carbonarius	0	3	0
Dichotomius_aff._cuprinus	0	12	1
Dichotomius_bos	5	92	9
Dichotomius_glaucus	1	29	4
Dichotomius_nisus	6	162	62
Dichotomius_opacipennis	0	8	5
Dichotomius_sexdentatus	0	3	0
Dichotomius_zikani	0	0	0
Ontherus_appendiculatus	140	126	139
Ontherus_digitatus	16	4	0
Anomiopus_pereirai	0	0	0
Canthon_aff._tristis	0	0	0
Canthon_chalybaeus	0	20	0
Canthon_histrio	0	0	0
Canthon_obscuriellus	0	0	0
Canthon_virens	0	0	0
Canthon_sp._1	0	0	0
Canthon_sp._2	0	0	0
Deltochilum_aff._komareki	0	1	0
Malagoniella_puncticollis	0	0	0
Eurysternus_caribaeus	0	0	0
Eurysternus_nigrovirens	0	0	0
Digitonthophagus_gazella	5	3	0
Onthophagus_aff._hirculus	3	15	2
Coprophanaeus_spitzi	0	16	22
Diabroctis_mimas	0	1	0
Diabroctis_mirabilis	0	2	0
Oxysternon_palemo	0	0	0
Phanaeus_kirbyi	0	0	0
Phanaeus_palaeno	0	18	0
