	pig	cattle	horse
Tiniocellus_spinipes	2321	236	537
Onthophagus_sp_b	2142	25	14
Onthophagus_vinctus	1245	58	69
Onthophagus_sp_nr_sugillatus	293	161	311
Aphodius_humilis	520	2	197
Drepanocerus_laticollis	14	327	206
Sisyphys_goryi	149	234	101
Drepanocerus_kirbyi	24	307	169
Aphodius_levis	44	126	301
Caccobius_nigritulus	353	40	2
Sarophorus_costatus	248	43	77
Euoniticellus_intermedius	3	306	46
Aphodius_amoenas	108	115	68
Onthophagus_aeruginosus	132	52	78
Caccobius_convexifrons	222	36	9
Proagoderus_sappharinus	87	36	35
Onthophagus_pullus	17	119	46
Anachalcos_convexus	112	4	1
Onthophagus_pallidipennis	61	100	12
Pedaria_sp	67	44	22
Onthophagus_fimetarius	73	29	15
Onthophagus_quadrinodosus	86	14	12
Aphodius_mutilis	85	12	13
Onitis_deceptor	8	54	40
Catharsius_tricornutus	60	24	13
Aphodius_bredoi	87	1	8
Onthophagus_obtusicornis	33	9	12
Hyalonthophagus_alcedo	75	6	11
Kheper_lamarcki	69	9	4
Neosisyphus_ruber	9	48	24
Onthophagus_flavolimbatus	29	30	17
Catharsius_sesostris	52	1	4
Aphodius_sp_a	58	1	13
Aphodius_bernoni	12	0	54
Colobopterus_maculicollis	0	60	6
Heliocopris_hamadryas	30	15	11
Scarabaeus_goryi	46	0	0
Copris_elphenor	3	32	10
Aphodius_reticulatus	15	1	29
Caccobius_viridicollis	21	9	11
Aphodius_guineensis	0	0	40
Odontoloma_louwi	6	13	12
Onthophagus_stellio	17	3	15
Onthophagus_sp_a	23	1	4
Drepanocerus_patrizii	0	14	14
Onthophagus_ebenus	12	0	0
Onthophagus_sp_nr_pullus	8	9	9
Pachylomerus_femoralis	15	4	2
Aphodius_confinis	0	13	10
Aphodius_dorsalis	2	16	4
Aphodius_lividus	5	4	6
Aphodius_russatus	2	2	16
