	pig	cattle	elephant	sheep
Onthophagus_sp_nr_variegatus	13264	12351	11651	9858
Onthophagus_sp_nr_probus	2583	634	925	637
Onthophagus_signatus	1934	1004	458	470
Onthophagus_quadraticeps	1255	288	295	288
Onthophagus_sp_K	615	445	192	354
Onthophagus_probus	126	108	517	66
Scarabaeus_(Scarabaeus)_zambesianus	260	46	58	194
Onthophagus_sp_G	108	76	52	100
Gymnopleurus_aenescens	153	56	21	41
Onthophagus_flavimargo	86	96	54	27
Onthophagus_rasipennis	0	0	0	265
Onthophagus_sp_A	111	115	9	2
Scarabaeus_(Scarabeolus)_flavicornis	153	41	7	0
Onthophagus_sp_B	145	72	6	5
Metacatharsius_exiguiformis	27	87	11	87
Caccobius_ferrugineus	102	35	29	29
Onthophagus_semiflavus	169	2	2	8
Proagoderus_sapphirinus	63	30	27	27
Scarabaeus_(Scarabaeus)_proboscideus	41	7	4	70
Phalops_rufosignatus	28	11	18	25
Onthophagus_pallidipennnis	7	10	8	21
Scarabaeus_(Scarabeolus)_anderseni	18	16	1	1
Caccobius_nigritulus	19	0	13	11
Phalops_wittei	14	7	6	10
Pachylomera_femoralis	16	6	6	2
Onthophagus_sp_nr_pullus_(a)	11	8	5	7
Allogymnopleurus_thalassinus	5	5	3	3
Euoniticellus_intermedius	0	7	1	6
Pedaria_sp_A	0	4	1	5
Metacatharsius_sp_A	0	1	0	9
Catharsius_melancholicus	1	1	1	0
Catharsius_calaharicus	1	0	5	0
Cleptocaccobius_viridicollis	2	1	1	2
Copris_cornifrons	0	0	5	0
Metacatharsius_latifrons	0	2	1	2
Gymnopleurus_humanus	0	1	0	2
Onthophagus_verticalis	0	0	3	0
Oniticellus_formosus	0	1	2	0
Caccobius_cavatus	0	2	0	0
Digitonthophagus_gazella	0	0	1	1
Onthophagus_sp_nr_apiciosus	2	0	0	0
Onthophagus_sp_nr_bicavifrons	0	0	0	0
Scarabaeus_(Kheper)_lamarcki	1	0	0	0
Scarabaeus_(Scarabeolus)_damarensis	1	0	0	0
Scarabaeus_(Scarabeolus)_kochi	0	1	0	0
Cheironitis_hoplosternus	1	0	0	0
Onitis_deceptor	0	0	0	1
