	cattle	horse
Aphodius_erraticus	1100	91
Onthophagus_vacca	390	39
Sisyphus_schaefferi	195	125
Euoniticellus_fulvus	36	266
Onthophagus_lemur	215	64
Onthophagus_verticornis	172	23
Aphodius_haemorrhoidalis	125	25
Euonthophagus_amyntas	26	45
Onthophagus_furcatus	31	25
Onthophagus_grossepunctatus	17	14
Aphodius_constans	15	2
Onthophagus_emarginatus	13	3
Aphodius_granarius	5	4
Caccobius_schreberi	2	6
Aphodius_satellitus	4	1
Aphodius_luridus_gagates	3	0
Aphodius_paracoenosus	0	2
Scarabaeus_laticollis	2	0
Aphodius_scrofa	0	1
Bubas_bubalus	1	0
Scarabaeus_typhon	1	0
