	cattle	horse
Aphodius_erraticus	193	36
Onthophagus_lemur	79	123
Aphodius_haemorrhoidalis	83	24
Onthophagus_vacca	71	34
Aphodius_paracoenosus	36	63
Onthophagus_verticornis	65	32
Euoniticellus_fulvus	10	59
Sisyphus_schaefferi	28	34
Bubas_bubalus	16	40
Caccobius_schreberi	10	39
Euonthophagus_amyntas	5	41
Aphodius_biguttatus	12	27
Aphodius_luridus_intricarius	24	14
Onthophagus_maki	28	1
Aphodius_merdarius	2	23
Aphodius_satellitus	8	9
Scarabaeus_laticollis	16	0
Aphodius_granarius	7	6
Aphodius_luridus_gagates	5	8
Onthophagus_emarginatus	8	5
Onthophagus_grossepunctatus	4	9
Aphodius_constans	11	1
Aphodius_scrofa	7	2
Onthophagus_furcatus	0	3
Aphodius_fimetarius	2	0
Copris_hispanus	1	1
Geotrupes_niger	0	1
Onthophagus_ovatus	1	0
