	sheep	cattle	deer	horse
Trypocopris_pyrenaeus	504	205	181	48
Geotrupes_stercorarius	135	97	53	15
Anoplotrupes_stercorosus	159	62	64	3
Aphodius_sphacelatus	81	2	0	69
Aphodius_fimetarius	33	62	5	0
Onthophagus_fracticornis	4	7	0	37
Onthophagus_vacca	15	13	16	4
Aphodius_constans	5	5	5	3
Aphodius_fossor	5	5	6	0
Aphodius_luridus	1	4	1	1
Onthophagus_lemur	4	0	0	0
Aphodius_granarius	1	2	0	0
Aphodius_haemorrhoidalis	3	0	0	0
Onthophagus_similis	0	3	0	0
Onthophagus_joannae	2	0	0	0
Aphodius_erraticus	0	0	0	1
