	sheep	cattle	horse	deer
Trypocopris_pyrenaeus	767	418	275	156
Anoplotrupes_stercorosus	326	197	72	70
Geotrupes_stercorarius	117	102	15	31
Aphodius_haemorrhoidalis	1	26	0	90
Aphodius_rufipes	88	22	1	0
Onthophagus_fracticornis	1	7	65	2
Aphodius_consputus	0	0	0	55
Aphodius_fimetarius	3	16	11	10
Aphodius_fossor	7	12	0	6
Aphodius_aestivalis	0	8	0	6
Onthophagus_similis	2	5	0	3
Aphodius_rufus	1	5	0	2
Onthophagus_verticicornis	1	2	1	2
Aphodius_corvinus	0	0	0	2
Aphodius_scrutator	0	1	0	1
Onthophagus_vacca	1	1	0	0
Aphodius_equestris	0	1	0	0
Aphodius_reyi	0	0	0	1
Copris_lunaris	0	0	1	0
Euoniticellus_fulvus	1	0	0	0
