	wildebeest	elephant
Kheper_aegyptiorum	621	149
Kheper_pustulosus	74	70
Kheper_venerabilis	56	27
Scarabaeus_catenatus	48	4
Scarabaeus_gangeticus	48	59
Scarabaeus_tonkeri	7	0
Allogymnopleurus_signaticollis	4	4
Neosisyphus_sg.1	5	6
Scarabaeus_ebenus	12	15
Sisyphus_goryi	92	42
Catharsius_adamastor	1	128
Catharsius_furcillatus	32	13
Copris_evanidus	24	62
Copris_harrisi	28	226
Copris_integer	32	35
Copris_vankhaii	4	52
Heliocopris_anadematus	151	154
Heliocopris_hermes	43	4
Digitonthophagus_gazella	2	8
Euoniticellus_inaequalis	19	10
Euoniticellus_intermedius	12	3
Euoniticellus_triangulatus	5	4
Euonthophagus_carbonarius	2	109
Hyalonthophagus_mixtifrons	47	50
Liatongus_militaris	16	34
Onitis_coxalis	0	25
Onitis_kingstoni	97	187
Onitis_laminosus	1	1
Onitis_viridulus	2	17
Onthophagus_extensicollis	6	69
Onthophagus_sinuosicollis	4	186
Onthophagus_sp.1	16	244
Onthophagus_sp.8	8	13
Pedaria_armata	1	32
Proagoderus_atriclaviger	4	6
Drepanocerus_patrizii	3	7
Onthophagus_atrofasciatus	7	8
Onthophagus_laevissimus	14	8
Onthophagus_leroyi	583	907
Onthophagus_montivagus	107	45
Onthophagus_producticollis	4	31
Onthophagus_sp.2	9	17
Onthophagus_sp.3	116	86
Onthophagus_sg.1	45	19
Aphodius_sp.1	980	7783
Aphodius_sp.3	3	1
