	wildebeest	zebra
Kheper_aegyptiorum	3119	2273
Kheper_pustulosus	479	415
Kheper_venerabilis	48	126
Scarabaeus_catenatus	422	336
Scarabaeus_gangeticus	90	40
Scarabaeus_tonkeri	37	4
Allogymnopleurus_signaticollis	62	58
Neosisyphus_sg.1	86	142
Scarabaeus_ebenus	183	57
Sisyphus_goryi	300	190
Catharsius_adamastor	50	244
Catharsius_furcillatus	425	316
Copris_evanidus	104	37
Copris_harrisi	126	127
Copris_integer	183	79
Copris_vankhaii	6	25
Heliocopris_anadematus	265	276
Heliocopris_hermes	74	26
Digitonthophagus_gazella	65	79
Euoniticellus_inaequalis	242	68
Euoniticellus_intermedius	68	50
Euoniticellus_triangulatus	36	68
Euonthophagus_carbonarius	55	248
Hyalonthophagus_mixtifrons	166	98
Liatongus_militaris	63	127
Onitis_coxalis	16	104
Onitis_kingstoni	703	1240
Onitis_laminosus	14	44
Onitis_viridulus	1	2
Onthophagus_extensicollis	163	650
Onthophagus_sinuosicollis	15	127
Onthophagus_sp.1	87	388
Onthophagus_sp.8	25	34
Pedaria_armata	11	41
Proagoderus_atriclaviger	215	352
Drepanocerus_patrizii	19	69
Onthophagus_atrofasciatus	57	95
Onthophagus_laevissimus	25	18
Onthophagus_leroyi	5659	5835
Onthophagus_montivagus	139	88
Onthophagus_producticollis	190	585
Onthophagus_sp.2	17	25
Onthophagus_sp.3	204	164
Onthophagus_sg.1	107	118
Aphodius_sp.1	1475	2192
Aphodius_sp.3	76	20
