	wildebeest	ostrich
Allogymnopleurus_signaticollis	12	16
Euoniticellus_sg.1	142	112
Hyalonthophagus_mixtifrons	32	35
Kheper_aegyptiorum	84	67
Onthophagus_sp.8	7	5
Onthophagus_atrofasciatus	1007	1665
Scarabaeus_catenatus	1130	729
Sisyphus_goryi	116	117
Aphodius_sp.1	10	5
Catharsius_furcillatus	100	145
Copris_harrisi	2	17
Euonthophagus_carbonarius	2	14
Heliocopris_anadamatus	5	50
Onthophagus_sp.1	2	9
Onthophagus_producticollis	3	7
Onthophagus_leroyi	333	1050
Onthophagus_montivagus	5	7
Scarabaeus_gangeticus	15	153
Scarabaeus_tonkeri	12	72
