	brownbear	cattle	deer	elephant	elk	fox	horse	lynx	sheep	wildboar	wisent	wolf
Anoplotrupes_stercorosus	28	19	18	40	10	46	31	80	46	66	19	22
Trypocopris_vernalis	1	6	3	11	2	8	10	23	12	3	2	2
Typhaeus_typhoeus	1	0	0	0	0	0	0	0	0	0	0	0
Geotrupes_spiniger	0	0	0	0	0	0	0	0	0	0	0	0
Geotrupes_stercorarius	0	0	0	0	0	0	0	0	0	0	0	0
Onthophagus_coenobita	0	1	0	0	0	0	0	1	0	2	0	0
Onthophagus_fracticornis	0	2	0	2	0	0	0	0	2	0	1	0
Onthophagus_furcatus	0	0	0	0	0	0	0	0	0	0	0	0
Onthophagus_gibbulus	0	0	0	0	0	0	0	0	0	0	0	0
Onthophagus_joannae	0	1	0	0	0	0	0	0	0	0	0	0
Onthophagus_nuchicornis	0	0	0	0	0	0	0	0	0	0	0	0
Onthophagus_ovatus	0	0	0	0	0	0	0	0	0	0	0	0
Onthophagus_similis	0	0	0	0	0	0	0	0	0	1	0	0
Onthophagus_vitulus	0	0	0	0	0	0	0	0	0	0	0	0
Onthophagus_verticicornis	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_ater	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_coenosus	0	7	0	9	0	0	0	0	1	0	0	0
Aphodius_corvinus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_depressus	0	11	1	0	0	0	0	0	3	1	0	0
Aphodius_distinctus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_erraticus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_fasciatus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_fimetarius	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_fossor	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_granarius	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_luridus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_maculatus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_prodromus	0	0	0	0	2	0	2	0	0	0	2	0
Aphodius_pusillus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_rufipes	0	3	0	1	0	0	0	0	0	2	0	0
Aphodius_rufus	0	3	0	0	0	0	0	0	0	0	0	0
Aphodius_sphacelatus	0	0	0	0	0	0	0	0	0	0	0	0
Aphodius_sticticus	0	3	0	2	0	1	2	0	1	26	0	0
Aphodius_zenkeri	0	0	0	0	0	0	0	0	0	0	0	0
