	cattle	wildebeest	whiterhino
Allogymnopleurus_thalassinus	65	40	199
Anachalcos_convexus	32	30	301
Caccobius_biceps	0	0	17
Caccobius_ferrugineus	209	105	1027
Caccobius_nigritulus	1	0	100
Caccobius_reticuliger	2	0	76
Caccobius_sp._A.5	10	3	111
Caccobius_viridicollis	54	180	71
Catharsius_sesostris	12	1	607
Chironitis_hoplosternus	0	0	16
Copris_macer	22	18	161
Euoniticellus_intermedius	52	26	31
Garreta_nitens	15	28	104
Gymnopleurus_humanus	9	7	95
Heliocopris_andersoni	0	0	11
Heliocopris_haroldi	0	0	10
Heteronitis_castelnaui	0	0	158
Kheper_nigroaenus	0	0	6
Liatongus_militaris	48	73	316
Neosisyphus_calcaratus	99	53	82
Oniticellus_formosus	0	2	15
Oniticellus_planatus	1	2	15
Onitis_aerarius	58	76	911
Onitis_fulgidus	34	37	558
Onitis_orthopus	0	0	16
Onitis_uncinatus	38	33	172
Onitis_westermanni	29	64	140
Onthophagus_carbonarius	358	395	7404
Onthophagus_lamelliger	71	19	570
Onthophagus_obtusicornis	0	0	12
Onthophagus_quadrinodosus	158	115	547
Onthophagus_rasipennis	17	28	117
Onthophagus_rhodesianus	23	3	803
Onthophagus_sp._b.3	1	0	33
Onthophagus_sp._b.6	38	46	536
Onthophagus_sp._b.24	6	1	77
Onthophagus_sp._b.29	17	114	561
Onthophagus_stellio	536	269	2225
Onthophagus_suffusus	2	3	64
Onthophagus_versutus	7	0	116
Onthophagus_vinctus	74	145	1382
Onthophagus_verticalis	10	11	73
Pedaria_sp.a.4	9	2	29
Pedaria_sp.a.7	4	6	66
Proagoderus_dives	1	7	89
Sarophorus_cicatricosus	35	35	361
Scarabaeus_goryi	10	29	107
Sisyphus_goryi	118	55	40
Tiniocellus_spinipes	218	308	2304
