	cattle	wildebeest	elephant
Caccobius_cavatus	5609	7568	3566
Caccobius_ferrugineus	30	32	37
Caccobius_nigritulus	217	264	249
Caccobius_sp.a.3	348	448	414
Catharsius_bradshawi	14	31	7
Catharsius_tricornutus	17	21	5
Copris_inhalatus	32	12	55
Copris_macer	84	12	30
Copris_mesacanthus	29	24	1
Drepanocerus_laticollis	201	15	36
Drepanocerus_sp.a.2	0	0	11
Euoniticellus_parvus	0	0	3
Kheper_lamarcki	15	1	3
Metacatharsius_exiguus	988	395	101
Metacatharsius_opacus	410	144	53
Metacatharsius_sp.b.3	8	19	0
Metacatharsius_troglodytes	512	385	211
Onitis_alexis	2	7	0
Onitis_fabricii	0	2	0
Onthophagus_anomalus	96	14	64
Onthophagus_carbonarius	60	62	80
Onthophagus_granulifrons	103	23	25
Onthophagus_plebejus	2	2	90
Onthophagus_signatus	639	723	533
Onthophagus_sp.b.5	62	7	19
Onthophagus_sp.b.6	111	29	17
Onthophagus_sp.b.7	4	7	0
Onthophagus_sp.b.15	320	29	80
Onthophagus_sp.b.16	5	14	22
Onthophagus_sp.b.25	161	266	88
Onthophagus_stellio	3	10	22
Onthophagus_vinctus	10	6	9
Onthophagus_virescens	53	5	6
Pachylomerus_femoralis	318	64	261
Pedaria_sp.a.2	25	94	7
Pedaris_sp.a.3	140	92	16
Pedaris_sp.a.7	12	34	0
Pedaris_sp.a.9	14	20	0
Proagoderus_sapphirinus	113	11	27
Scarabaeus_goryi	0	3	0
Scarabaeus_zambesianus	150	99	33
