	leopard	cervid	elephant	bear	buffalo
Onthophagus_pygmaeus	14	1	6	117	2
Onthophagus_dama	0	0	4	1	1
Onthophagus_spinifex	6	2	1	0	2
Onthophagus_refulgens	2	4	1	0	0
Onthophagus_centricornis	4	1	0	0	3
Onthophagus_negligens	50	1	11	4	11
Onthophagus_martialis	0	3	14	6	0
Onthophagus_favrei	22	0	19	1	10
Onthophagus_turbatus	3	7	4	2	1
Onthophagus_unifasciatus	3	1	3	0	0
Onthophagus_cervus	1	0	0	0	0
Onthophagus_quadridentatus	0	0	0	0	1
Onthophagus_sp.1	0	0	0	0	1
Onthophagus_sp.2	0	1	0	0	3
Caccobius_meridionalis	0	0	0	1	1
Caccobius_sp.1	2	0	0	0	0
Catharsius_pethecius	1	0	0	0	0
Drepanocerus_setosus	0	0	0	1	0
Sisyphus_longipes	57	0	4	1	0
Sisyphus_hirtus	7	0	2	0	0
Paragymnopleurus_melanarius	1	0	0	0	0
Copris_signatus	9	0	9	3	0
