	sheep	deer
Melinopterus_sphacelatus	254	146
Onthophagus_joannae	203	20
Onthophagus_fracticornis	70	21
Onthophagus_similis	49	21
Trypocopris_pyrenaeus	24	36
Typhaeus_typhoeus	30	16
Onthophagus_grossepunctatus	32	0
Phalacronothus_quadrimaculatus	25	3
Onthophagus_lemur	25	0
Trypocopris_vernalis	4	3
Aphodius_fimetarius	4	2
Nimbus_contaminatus	0	6
Parammoecius_corvinus	0	3
Planolinus_uliginosus	0	3
Oxyomus_silvestris	2	0
Onthophagus_vacca	2	0
Anoplotrupes_stercorosus	2	0
Acrossus_luridus	1	0
Agrilinus_ater	1	0
Calamosternus_granarius	1	0
Euorodalus_coenosus	1	0
Onthophagus_verticicornis	1	0
Geotrupes_mutator	1	0
