	sheep	deer
Onthophagus_joannae	124	27
Trypocopris_pyrenaeus	1	88
Onthophagus_similis	55	1
Onthophagus_lemur	27	7
Euorodalus_coenosus	22	2
Onthophagus_fracticornis	16	0
Esymus_pusillus	14	0
Onthophagus_verticicornis	12	1
Phalacronothus_biguttatus	8	0
Limarus_zenkeri	5	0
Colobopterus_erraticus	3	0
Aphodius_fimetarius	1	1
Copris_lunaris	2	0
Ontophagus_furcatus	2	0
Anoplotrupes_stercorosus	1	1
Typhaeus_typhoeus	2	0
Aphodius_foetidus	1	0
Calamosternus_granarius	1	0
Planolinus_borealis	0	1
Volinus_sticticus	1	0
