	deer	sheep
Trypocopris_pyrenaeus	1168	0
Onthophagus_joannae	312	29
Geotrupes_stercorarius	102	0
Phalacronothus_quadrimaculatus	19	11
Euorodalus_coenosus	19	7
Anoplotrupes_stercorosus	12	0
Onthophagus_lemur	0	10
Volinus_sticticus	0	9
Onthophagus_grossepunctatus	0	9
Acrossus_depressus	7	0
Parammoecius_corvinus	5	0
Onthophagus_fracticornis	5	0
Esymus_pusillus	0	4
Onthophagus_verticicornis	2	1
Agrilinus_ater	0	1
Calamosternus_granarius	0	1
Colobopterus_erraticus	1	0
Onthophagus_similis	1	0
Onthophagus_vacca	1	0
Trypocopris_vernalis	0	1
Typhaeus_typhoeus	0	1
