	human	pig
Ateuchus_aff._connexus	5	9
Ateuchus_aff._murrayi	2	2
Ateuchus_irinus	15	2
Ateuchus_pauki	1	0
Ateuchus_sp._A	0	0
Ateuchus_sp._B	0	0
Ateuchus_sp._E	1	4
Ateuchus_sp._F	0	0
Ateuchus_sp._G	1	1
Canthidium_aff._gertsaeckeri	2	3
Canthidium_aff._lentum	3	3
Canthidium_sp._B	0	3
Canthidium_sp._D	1	0
Canthidium_sp._H	2	0
Canthon_bicolor	1	3
Canthon_quadriguttatus	0	0
Canthon_subhyalinus	0	0
Canthon_triangularis	89	43
Coprophanaeus_dardanus	0	0
Coprophanaeus_jasius	1	0
Coprophanaeus_lancifer	1	0
Deltochilum_aff._peruanum	27	15
Deltochilum_aff._submetallicum	32	14
Deltochilum_carinatus	3	1
Deltochilum_icarus	1	0
Deltochilum_orbiculare	1	0
Dichotomius_apicalis	2	1
Dichotomius_boreus	1	0
Dichotomius_latilobatus	0	3
Dichotomius_lucasi	35	94
Dichotomius_mamillatus	0	0
Dichotomius_subaeneus	7	22
Dichotomius_worontzowi	8	2
Eurysternus_atroserucus	19	18
Eurysternus_balachowskyi	1	0
Eurysternus_caribaeus	37	41
Eurysternus_cayennensis	0	0
Eurysternus_foedus	5	8
Eurysternus_hamaticollis	1	0
Eurysternus_hypocryta	9	14
Eurysternus_strigulatus	4	24
Eurysternus_vastorium	2	1
Eurysternus_ventricosus	3	1
Onthophagus_aff._bidentatus	13	14
Onthophagus_aff._clypeatus	111	57
Onthophagus_aff._haemathopus	6	2
Oxysternon_durantoni	3	5
Oxysternon_festivum	13	9
Phanaeus_chalcomelas	5	2
Sulcophanaeus_faunus	0	0
Uroxys_sp._A	84	294
Uroxys_sp._B	0	1
Uroxys_sp._C	13	1
