	horse	cattle	wildboar	badger	deer	fallow_deer	lynx	fox	human
Scarabaeus_cicatricosus	2	0	1	0	1	1	0	0	9
Scarabaeus_sacer	1	0	0	0	0	0	0	0	0
Copris_hispanicus	1	2	0	0	0	0	0	0	0
Euoniticellus_fulvus	3	2	1	0	0	11	0	0	1
Euoniticellus_pallipes	1	4	10	0	6	19	0	0	1
Onitis_belial	0	1	0	0	0	0	0	0	0
Bubas_bison	0	1	0	0	0	0	0	0	4
Bubas_bubalus	0	0	0	0	0	1	0	0	0
Onthophagus_furcatus	4	9	1	0	2	5	0	0	3
Onthophagus_maki	31	82	14	0	16	11	0	0	52
Onthophagus_punctatus	3	0	0	0	1	0	0	0	1
Onthophagus_similis	354	322	8	0	80	115	0	0	237
Onthophagus_opacicollis	108	140	10	0	10	52	0	0	63
Onthophagus_taurus	2	24	11	0	9	36	0	0	6
Onthophagus_vacca	0	2	0	0	0	1	0	0	0
Caccobius_schreberi	18	21	2	0	8	24	0	0	18
Aphodius_baraudi	4	7	7	0	6	0	0	0	11
Aphodius_erraticus	1	11	0	0	1	9	0	0	0
Aphodius_fimetarius	0	1	1	0	1	1	0	0	0
Aphodius_granarius	1	0	1	0	0	0	0	0	1
Aphodius_ictericus	0	15	0	0	0	2	0	0	0
Aphodius_immundus	2	6	2	0	0	5	0	0	1
Aphodius_lineolatus	7	43	0	0	4	20	0	0	4
Aphodius_lividus	1	0	1	0	0	0	0	0	0
Aphodius_longispina	0	0	0	0	0	2	0	0	0
Aphodius_luridus	0	2	0	0	1	1	0	0	0
Aphodius_merdarius	0	0	0	0	0	0	0	0	11
Aphodius_satellitius	1	0	0	0	0	0	0	0	0
Aphodius_scybalarius	0	14	2	0	3	5	0	0	5
Aphodius_striatulus	8	47	14	0	8	26	0	0	14
Aphodius_sturmi	0	1	0	0	0	1	0	0	0
Aphodius_tersus	7	47	4	0	6	25	0	0	15
Aphodius_unicolor	0	0	0	0	1	0	0	0	0
Thorectes_hispanicus	0	0	0	0	1	0	0	0	0
Typhaeus_momus	4	6	1	0	0	2	1	1	13
