Regenzeit	Bos_taurus_autochthon	Bos_indicus	Bos_taurus_Europa
Sisyphus_spinipes	113	4	11
Sisyphus_crispatus	149	152	37
Gymnopleurus_virens	0	0	0
Copris_armiger	3	25	33
Copris_moffartsi	9	0	0
Copris_orphanus	17	25	0
Onitis_alexis	33	0	18
Onitis_lamnifer	9	31	0
Onitis_spinicrus	0	0	0
Drepanocerus_kirbyi	63	66	17
Euoniticellus_intermedius	296	59	178
Euoniticellus_parvus	0	0	0
Oniticellus_planatus	0	0	0
Liatongus_militaris	77	0	48
Onthophagus_corniceps	0	692	108
Onthophagus_pugionatus	4	0	30
Onthophagus_excisiceps	0	0	0
Onthophagus_vinctus	106	0	170
Proagoderus_lallierianus	2	0	0
Colobopterus_maculicollis	34	4	4
Caccobius_postulatus	0	0	0
Aphodius_sublividus	194	77	74
Aphodius_rwandanus	81	0	23
Pharaphodius_impus	0	0	0
Aganocrossus_amoenus	0	0	0
