Trockenzeit	Bos_taurus_autochthon	Bos_indicus	Bos_taurus_Europa
Sisyphus_spinipes	26	16	8
Sisyphus_crispatus	0	0	0
Gymnopleurus_virens	8	26	7
Copris_armiger	0	0	0
Copris_moffartsi	0	0	0
Copris_orphanus	1	2	1
Onitis_alexis	104	18	301
Onitis_lamnifer	50	26	28
Onitis_spinicrus	106	28	32
Drepanocerus_kirbyi	0	0	0
Euoniticellus_intermedius	80	47	14
Euoniticellus_parvus	45	131	101
Oniticellus_planatus	3	2	16
Liatongus_militaris	20	0	18
Onthophagus_corniceps	173	203	24
Onthophagus_pugionatus	41	0	6
Onthophagus_excisiceps	83	608	101
Onthophagus_vinctus	0	0	0
Proagoderus_lallierianus	0	0	0
Colobopterus_maculicollis	673	24	1371
Caccobius_postulatus	46	208	0
Aphodius_sublividus	0	0	0
Aphodius_rwandanus	253	145	377
Pharaphodius_impus	46	48	133
Aganocrossus_amoenus	223	81	118
