	elephant	rhino	zebra	buffalo	wildebeest	impala
Sisyphus_gazanus	4	0	0	4	0	4
Sisyphus_crispatus	3	0	0	3	0	0
Neosisyphus_fortuitus	61	27	3	178	0	0
Neosisyphus_spinipes	8	4	0	47	0	0
Neosisyphus_calcaratus	31	10	5	108	0	4
Neosisyphus_rubrus	1	0	0	7	0	0
Garreta_nitens	324	22	20	24	0	12
Allogymnopleurus_thalassinus	35	19	15	2	0	4
Gymnopleurus_virens	5	0	0	4	0	0
Gymnopleurus_humanus	2	0	0	0	0	0
Anachalcos_convexus	9	3	4	0	0	0
Kheper_nigroaeneus	41	10	5	1	1	1
Sarophorus_costatus	1	8	0	6	0	0
Pedaria_sp.I	10	16	2	1	1	0
Pedaria_sp.II	6	0	0	0	0	0
Pedaria_sp.III	1	0	0	0	0	0
Pedaria_sp.near_I	0	2	0	0	0	0
Copris_elphenor	28	6	3	6	3	0
Copris_amyntor	1896	39	53	32	21	6
Copris_mesacanthus	0	1	0	1	0	0
Copris_evanidus	147	1	2	0	2	1
Catharsius_philus	3	2	2	0	0	0
Catharsius_sesostris	1	1	0	0	0	0
Metacatharsius_opacus	13	1	0	0	0	0
Onthophagus_variegatus	290	29	30	61	94	13
Onthophagus_fimetarius	174	337	27	907	49	19
Onthophagus_vinctus	810	585	22	1063	0	0
Onthophagus_signatus	620	4	25	29	14	25
Onthophagus_amoenus	62	16	0	6	6	0
Onthophagus_rasipennis	69	0	18	189	61	36
Onrhophagus_jeanneli	1835	0	8	1	2	0
Onthophagus_sugillatus	2	1	0	14	5	1
Onthophagus_depressus	0	0	0	2	0	0
Onthophagus_nanus	0	0	0	1	0	5
Onthophagus_flavolimbatus	55	3	0	76	47	74
Onthophagus_pallidipennis	10	0	0	2	0	0
Onthophagus_corniculiger	18	0	0	0	0	0
Onthophagus_carbonarius	10	0	0	0	0	0
Onthophagus_interstitialis	183	0	2	11	0	0
Onthophagus_aeruginosus	5	1	0	7	0	0
Onthophagus_lamelliger	48	30	13	238	25	2
Onthophagus_obtusicornis	7	1	0	0	0	0
Onthophagus_aequepubens	0	0	0	1	0	0
Onthophagus_sp.nr.teitanicus	0	2	0	4	0	0
Onthophagus_sp.nr.lamelliger	2	3	1	75	6	0
Euonthophagus_sp.I	549	78	80	82	25	0
Hyalonthophagus_alcyon	54	5	1	20	4	3
Digitonthophagus_gazella	1862	30	177	345	178	3
Proagoderus_tersidorsis	32	7	0	9	0	0
Proagoderus_bicallosus	88	15	0	1	0	0
Proagoderus_rangifer	1	0	0	0	0	0
Proagoderus_loricatus	94	2	1	0	0	0
Proagoderus_rectefurcatus	8	0	1	0	0	0
Phalops_ardea	649	359	142	382	13	12
Phalops_boschas	96	18	4	11	1	0
Phalops_dregei	35	1	0	18	1	0
Phalops_flavocinctus	41	0	0	17	5	0
Milichus_apicalis	601	159	6	2	4	0
Caccobius_convexifrons	6	1	0	5	0	1
Caccobius_ferrugineus	67	1	3	16	0	0
Caccobius_nigritulus	136	23	0	11	3	4
Caccobius_sp.I	64	2	0	80	0	10
Caccobius_sp.nr.convexifrons	1	0	0	0	3	1
Oniticellus_planatus	3	3	0	5	0	0
Oniticellus_formosus	0	3	0	5	0	0
Oniticellus_egregius	9	9	1	0	0	0
Euoniticellus_intermedius	32	2	0	73	66	0
Euoniticellus_zumpti	26	0	1	1	0	0
Euoniticellus_kawanus	0	3	0	0	0	0
Euoniticellus_sp.I	5	1	0	0	0	0
Drepanocerus_laticollis	1	1	0	1	0	0
Drepanocerus_fastiditus	1	0	0	1	0	0
Drepanocerus_kirbyi	1	1	0	21	1	2
Drepanocerus_patrizii	0	0	0	0	2	0
Liatongus_militaris	0	0	0	2	1	0
Tiniocellus_spinipes	341	129	4	208	12	1
Onitis_fulgidus	20	16	2	15	0	0
Onitis_uncinatus	17	1	13	1	1	0
Onitis_viridulus	3	8	1	6	5	0
Onitis_westermanni	3	0	1	1	0	0
Onitis_alexis	11	5	3	13	9	0
Onitis_picticollis	5	0	12	6	0	0
Onitis_mendax	36	2	3	1	0	0
Chironitis_indicus	2	0	0	0	0	0
Heteronitis_castelnaui	44	30	0	0	0	0
