	elephant	zebra	buffalo	giraffe	impala
Sisyphus_gazanus	4	0	48	4	3
Sisyphus_crispatus	19	1	106	22	13
Neosisyphus_fortuitus	6	0	43	1	5
Neosisyphus_spinipes	7	5	155	19	14
Neosisyphus_calcaratus	16	7	160	11	24
Neosisyphus_rubrus	0	0	3	0	0
Garreta_nitens	6	0	5	1	1
Allogymnopleurus_thalassinus	1	0	1	0	0
Gymnopleurus_virens	1	0	1	0	0
Odontoloma_sp.I	1	0	0	0	0
Anachalcos_convexus	22	1	1	1	0
Kheper_nigroaeneus	106	9	70	25	18
Scarabaeus_galenus	1	0	4	2	1
Sarophorus_costatus	1	2	15	3	3
Pedaria_sp.I	16	2	20	11	5
Heliocopris_japetus	0	0	1	0	0
Copris_elphenor	2	0	19	1	2
Copris_amyntor	72	9	27	19	9
Copris_mesacanthus	7	0	6	3	4
Copris_evanidus	4	0	0	0	0
Catharsius_philus	3	0	13	1	6
Catharsius_sesostris	12	0	0	1	1
Metacatharsius_opacus	4	0	2	0	0
Metacatharsius_troglodytes	0	0	2	0	0
Metacatharsius_exiguus	0	0	1	0	0
Onthophagus_variegatus	71	14	15	0	3
Onthophagus_fimetarius	319	108	95	1	18
Onthophagus_vinctus	233	149	156	3	0
Onthophagus_amoenus	1	0	0	0	0
Onthophagus_rasipennis	100	12	151	22	27
Onrhophagus_jeanneli	1	0	0	0	0
Onthophagus_sugillatus	106	21	103	2	4
Onthophagus_depressus	0	0	1	0	0
Onthophagus_pallidipennis	2	0	12	0	0
Onthophagus_carbonarius	2794	468	1000	35	47
Onthophagus_aeruginosus	14	0	8	1	0
Onthophagus_lamelliger	69	0	9	2	0
Onthophagus_obtusicornis	0	0	2	0	0
Onthophagus_aequepubens	6	0	2	0	1
Onthophagus_beiranus	1	0	0	0	0
Onthophagus_sp.nr.teitanicus	2	0	0	0	0
Onthophagus_sp.nr.lamelliger	0	0	8	1	0
Hyalonthophagus_alcyon	0	0	1	0	0
Digitonthophagus_gazella	13	12	47	18	13
Proagoderus_tersidorsis	29	2	5	0	2
Proagoderus_loricatus	1	0	0	0	0
Phalops_ardea	5	0	3	0	0
Phalops_boschas	1	0	0	0	0
Milichus_apicalis	10	8	0	0	0
Caccobius_ferrugineus	4	1	0	0	0
Caccobius_nigritulus	6	0	1	0	0
Caccobius_sp.I	8	2	31	1	3
Oniticellus_planatus	7	7	12	1	2
Oniticellus_formosus	1	3	0	1	1
Oniticellus_egregius	0	2	0	0	0
Euoniticellus_intermedius	3	2	48	1	5
Drepanocerus_laticollis	0	0	1	0	0
Drepanocerus_fastiditus	2	0	1	1	0
Drepanocerus_kirbyi	5	0	14	0	2
Liatongus_militaris	1	0	3	1	1
Tiniocellus_spinipes	82	2	24	1	5
Onitis_fulgidus	30	1	4	0	0
Onitis_viridulus	4	1	1	1	1
Onitis_westermanni	2	0	0	0	0
Onitis_alexis	3	5	2	0	0
Onitis_picticollis	1	0	0	0	0
Onitis_mendax	4248	856	2463	218	244
