	sheep	cattle	horse
A_prodromus	767	1214	1398
A_fimetarius	1213	686	797
A_rufus	611	402	118
S_scarabaeoides	141	253	146
A_rufipes	71	165	216
S_bipustulatum	73	45	273
A_merdarius	132	28	149
C_erraticus	147	59	37
A_conspurcatus	9	2	150
A_sordidas	3	5	97
S_lunatum	7	46	43
A_ater	79	12	2
A_pusillus	62	21	9
C_fossor	13	62	3
C_haemorrhoidalis	32	35	0
A_depressus	40	15	3
G_stercorarius	6	7	39
A_fasciatus	30	17	1
A_foetens	1	3	18
A_borealis	11	0	3
G_stercorosus	3	2	7
H_unicolor	4	5	0
H_ventralis	3	6	0
H_striola	0	3	4
A_distinctus	1	0	0
O_gibbulus	0	1	0
