	cattle	anoa
Onthophagus_ribbei	261	119
Onthophagus_holosericeus	124	87
Onthophagus_fuscotriatus	84	58
Onthophagus_cf_wallacei	68	49
Onthophagus_scrutator	51	56
Onthophagus_limbatus	51	43
Onthophagus_sp_2	27	45
Copris_saundersi	35	31
Onthophagus_mentaveiensis	15	23
Onthophagus_forsteni	19	17
Onthophagus_aureopilosus	15	11
Onthophagus_sp_6	11	9
Gymnopleurus_planus	8	8
Aphodius_sp_1	10	6
Onthophagus_fulvus	7	6
Onthophagus_sp_7	13	0
Onthophagus_rudis	6	6
Copris_macacus	2	8
Onthophagus_sp_5	4	4
Phaeochrous_emarginatus	5	3
Aphodius_sp_3	3	3
Aphodius_sp_4	3	2
Onthophagus_sp_3	1	3
Onthophagus_sp_1	2	1
Onthophagus_sp_4	0	2
Aphodius_sp_2	0	2
Onthophagus_sp_8	1	0
Aphodius_sp_5	1	0
