	bushdog	capuchin	human	jaguar	ocelot	peccary	pig	raccoon
coprophanaeus_dardanus	0	0	0	0	0	0	0	0
coprophanaeus_saphirinus	0	0	3	0	0	0	0	0
coprophanaeus_bellicosus	0	0	16	3	1	0	0	1
phanaeus_splendidulus	0	0	19	1	0	0	3	0
deltochilum_brasilense	0	0	0	0	0	0	0	0
deltochilum_furcatum	0	0	6	4	0	0	1	0
deltochilum_irroratum	0	0	0	0	0	0	0	0
deltochilum_morbillosum	0	0	0	0	0	0	0	1
canthon_smaragdulus	0	0	4	1	0	0	1	0
onthophagus_catharinensis	0	0	17	1	0	1	8	0
dichotomius_ mormon	0	0	54	2	3	3	25	1
dichotomius_sericeus	1	1	31	10	11	2	16	5
dichotomius_fissus	0	0	8	0	0	0	0	0
dichotomius_quadrinodosus	0	0	18	3	2	0	12	7
dichotomius_depressicollis	0	0	0	0	0	0	0	0
dichotomius_ascinus	0	0	0	0	0	0	0	0
ontherus_azteca	0	0	0	0	0	0	0	0
canthidium_punctatostriatum	0	0	1	0	0	0	0	0
canthidium_sp1	0	0	3	1	0	0	0	0
canthidium_sp2	0	0	0	0	0	0	0	0
eutrichilium_hirsutum	0	0	2	0	0	0	0	0
chalocopris_hesperus	0	0	1	0	0	0	0	0
ateuchus_subquadratus	0	0	0	0	0	0	0	0
eurysternus_inflexus	0	0	0	0	0	0	0	0
