	capuchin	grison	human	jaguar	ocelot	peccary	pig	raccoon
coprophanaeus_dardanus	0	1	13	1	3	0	0	0
coprophanaeus_saphirinus	1	0	4	3	1	0	0	0
coprophanaeus_bellicosus	0	2	13	1	3	0	0	1
phanaeus_splendidulus	0	0	21	4	1	0	7	0
deltochilum_brasilense	0	0	2	0	0	0	0	0
deltochilum_furcatum	0	0	12	1	1	0	2	0
deltochilum_irroratum	0	0	0	1	0	0	0	0
deltochilum_morbillosum	0	0	0	1	1	0	0	0
canthon_smaragdulus	0	1	47	0	0	0	0	0
onthophagus_catharinensis	0	0	27	6	1	2	19	0
dichotomius_ mormon	0	0	91	10	3	0	20	3
dichotomius_sericeus	1	2	57	17	15	6	21	2
dichotomius_fissus	1	0	17	0	0	0	0	0
dichotomius_quadrinodosus	0	0	4	2	0	0	8	1
dichotomius_depressicollis	0	0	0	0	0	0	1	0
dichotomius_ascinus	0	0	0	0	0	0	0	0
ontherus_azteca	0	0	0	0	0	0	0	0
canthidium_punctatostriatum	0	0	3	0	0	0	0	0
canthidium_sp1	0	2	7	3	1	0	6	1
canthidium_sp2	0	0	0	0	0	0	0	0
eutrichilium_hirsutum	0	0	0	0	0	0	0	0
chalocopris_hesperus	0	0	0	0	0	0	0	0
ateuchus_subquadratus	0	0	0	0	0	0	1	0
eurysternus_inflexus	0	0	1	0	0	0	0	0
