	anteater	capuchin	grison	human	jaguar	ocelot	pig	raccoon
coprophanaeus_dardanus	0	0	0	2	1	0	0	0
coprophanaeus_saphirinus	0	0	0	4	2	0	0	1
coprophanaeus_bellicosus	3	0	0	3	0	0	0	0
phanaeus_splendidulus	2	0	0	11	1	0	7	0
deltochilum_brasilense	0	0	0	0	0	0	0	0
deltochilum_furcatum	0	1	0	1	2	0	0	0
deltochilum_irroratum	0	0	0	0	1	0	0	0
deltochilum_morbillosum	0	0	0	0	1	2	0	0
canthon_smaragdulus	0	0	0	3	0	0	1	0
onthophagus_catharinensis	6	0	0	5	0	0	7	1
dichotomius_ mormon	4	0	0	34	3	2	17	0
dichotomius_sericeus	14	0	1	36	26	22	30	15
dichotomius_fissus	0	2	0	1	0	0	0	1
dichotomius_quadrinodosus	3	0	0	5	2	1	8	1
dichotomius_depressicollis	0	0	0	0	0	0	0	0
dichotomius_ascinus	0	0	0	1	0	0	0	0
ontherus_azteca	0	0	0	0	0	0	1	0
canthidium_punctatostriatum	0	1	0	1	0	0	0	0
canthidium_sp1	2	0	0	0	1	2	9	0
canthidium_sp2	0	0	0	1	0	0	0	0
eutrichilium_hirsutum	0	0	0	0	0	0	0	0
chalocopris_hesperus	0	0	0	0	0	0	0	0
ateuchus_subquadratus	0	0	0	0	0	0	0	0
eurysternus_inflexus	0	0	0	0	0	0	0	0
