	cattle	sun_bear	elephant	bear_cat	rhino	sambar_deer	human	proboscis_monkey	orang_utan	clouded_leopard
Catharsius_dayacus_	5	0	1	0	43	2	10	4	16	0
Catharsius_renaudpauliani	3	0	0	0	3	0	9	0	2	0
Copris_sinicus	0	0	0	0	2	0	0	0	0	0
Copris_agnus	1	0	0	0	8	0	0	0	0	0
Microcopris_doriae	0	0	0	0	0	0	1	1	1	0
Microcopris_hidaki	0	0	0	0	0	0	0	0	0	0
O._incicus	0	0	0	0	0	0	0	0	0	0
O._rorarius	2	0	1	0	7	0	5	0	1	0
O._mulleri	0	0	0	0	0	0	0	0	0	0
O._borneensis	3	0	0	0	0	0	2	0	5	7
O._cervicapra	18	0	3	0	5	4	4	4	0	1
O._obscurior	13	0	2	0	50	0	0	4	4	0
O._rugicollis	1	0	1	0	6	0	0	0	4	0
O._vulpes	3	0	1	0	0	0	2	0	1	0
O._ochromerus	0	0	0	0	6	0	20	0	1	0
O._rudis	0	0	0	0	0	0	0	0	1	0
O._taeniatus	1	0	0	0	2	0	0	0	2	0
O._waterstradti	0	0	0	0	0	0	0	0	0	0
O._semiaureus	0	0	0	0	0	0	0	0	1	0
O._pacificus	4	0	0	0	9	1	2	0	2	3
O._angustatus	12	0	5	0	9	0	14	0	0	0
O._dux	0	0	0	0	0	0	0	0	0	0
O._fujii	0	0	0	0	4	0	2	0	0	0
O._laevis	1	0	0	0	1	0	1	0	1	0
O._deliensis	0	0	0	0	0	0	1	0	0	0
O._aphodiodes	0	0	0	0	0	0	0	1	0	0
O._aurifex	0	0	0	2	0	0	0	0	0	0
Paragymnopleurus_maurus	3	0	1	0	8	1	42	0	15	5
Paragymnopleurus_striatus	0	0	0	0	5	0	1	0	2	0
Paragymnopleurus_sparsus	0	0	1	0	1	0	0	0	0	0
Proagoderus_watanebei	0	0	0	0	0	0	0	0	0	0
Sisyphus_thoracicus	0	0	0	0	0	0	0	0	0	0
Oniticellus_tesselatus	0	0	0	0	0	0	0	0	0	0
Liatongus_femoratus	0	0	0	0	0	0	0	0	0	0
Synapsis_ritsemae	0	0	0	0	0	0	0	0	0	0
Ochicanthon_masumutoi	0	0	0	0	0	0	0	0	0	0
O._aff._Quasiblagal	0	0	0	0	0	0	0	1	0	0
O._johkii	0	0	0	0	0	0	0	1	1	0
O._negrobscurior	0	0	0	0	0	0	0	0	0	0
