	cattle	sun_bear	elephant	bear_cat	rhino	sambar_deer	human	proboscis_monkey	orang_utan
Catharsius_dayacus_	1	0	0	1	12	0	5	3	15
Catharsius_renaudpauliani	0	0	0	0	0	0	1	0	0
Copris_sinicus	0	0	0	0	2	0	9	2	7
Copris_agnus	0	0	0	1	0	0	0	0	0
Copris_ramosiceps	0	0	0	0	0	0	0	1	0
Microcopris_doriae	4	0	3	0	4	9	8	1	15
Microcopris_hidaki	0	0	3	0	0	3	0	1	2
O._incicus	0	0	0	0	1	0	1	0	0
O._rorarius	1	0	0	0	0	0	0	0	2
O._mulleri	0	0	0	0	0	0	0	0	0
O._borneensis	0	0	0	0	0	0	0	0	6
O._cervicapra	8	0	25	0	7	7	14	1	8
O._obscurior	1	0	1	0	11	3	18	2	15
O._negrobscurior	0	0	0	0	1	0	0	0	0
O._rugicollis	0	0	4	0	3	0	2	2	0
O._vulpes	2	0	0	0	2	0	5	1	0
O._ochromerus	0	0	0	0	0	0	14	3	1
O._rudis	0	0	0	0	0	0	0	0	0
O._taeniatus	0	0	1	0	1	0	0	0	0
O._waterstradti	0	0	0	2	1	0	3	2	2
O._semiaureus	0	0	0	0	0	0	7	1	1
O._semicupreus	0	0	2	0	0	0	0	0	0
O._pacificus	0	0	0	0	0	0	0	1	5
O._pavidus	0	0	0	0	0	1	0	0	0
O._angustatus	1	0	0	0	0	0	0	0	0
O._dux	0	0	0	0	0	0	0	0	0
O._fujii	0	0	0	0	1	0	2	1	0
O._laevis	0	0	0	0	0	0	0	0	0
O._deliensis	0	0	0	0	0	0	0	0	0
O._aphodiodes	0	0	0	0	0	0	0	0	0
O._aurifex	0	0	0	0	0	0	0	0	0
Paragymnopleurus_maurus	0	0	0	0	2	0	8	0	9
Paragymnopleurus_striatus	0	0	0	0	1	1	3	8	2
Paragymnopleurus_sparsus	1	0	0	0	31	12	35	18	28
Proagoderus_watanebei	0	0	0	0	22	3	3	2	5
Sisyphus_thoracicus	0	0	0	1	1	1	1	0	0
Oniticellus_tesselatus	1	0	1	0	0	3	0	0	0
Liatongus_femoratus	0	0	0	0	0	0	0	0	0
Synapsis_ritsemae	0	0	0	1	1	0	1	1	0
Ochicanthon_masumutoi	0	0	0	1	0	0	0	0	0
