	pig	cattle	elephant	sheep
Caccobius_nigritulus	22056	4930	3864	350
Onthophagus_sp_nr_pullus_a	4626	2317	563	890
Onthophagus_signatus	3505	3043	292	1152
Caccobius_cavatus	3074	2027	1225	1276
Cleptocaccobius_convexifrons	1963	1083	187	588
Onthophagus_virescens	1172	1089	310	285
Onthophagus_sp_nr_probus	572	287	32	312
Kheper_lamarcki	366	382	100	59
Caccobius_ferrugineus	233	166	365	55
Pachylomerus_femoralis	232	288	50	169
Metacatharsius_opacus	87	33	22	28
Metacatharsius_troglodytes	151	130	25	116
Onthophagus_quadraticeps	140	91	36	88
Scarabaeus_zambesianus	57	156	15	100
Onthophagus_anomalus	86	49	165	8
Drepanocerus_laticollis	23	61	208	9
Onthophagus_vinctus	49	99	109	7
Onthophagus_sp_4	40	10	22	3
Scarabaeus_flavicornis	30	5	0	1
Onthophagus_sp_k	45	26	0	8
Onthophagus_verticalis	11	19	36	10
Onthophagus_sp_3	0	1	0	0
Onthophagus_sp_2	1	0	0	0
Euonthophagus_sp_1	33	27	10	0
Anachalcos_convexus	12	9	2	5
Metacatharsius_sp_1	1	3	0	0
Catharsius_melancholicus	0	0	0	0
Onthophagus_plebejus	5	5	26	2
Pedaria_sp_1	3	3	23	5
Onthophagus_sp_nr_variegatus	12	8	2	3
Onthophagus_sugillatus	11	3	0	2
Kheper_prodigiosus	7	3	6	6
Drepanocerus_fastiditus	2	0	19	0
Pedaria_sp_A	0	6	0	7
Drepanocerus_freyi	1	2	17	0
Scarabaeus_anderseni	10	2	0	0
Onthophagus_sp_8	6	5	0	3
Proagoderus_bicallosus	9	1	0	1
Metacatharsius_sp_2	6	1	1	1
Euoniticellus_intermedius	1	1	5	2
Pedaria_sp_VI	0	0	8	0
Onthophagus_suffusus	4	0	1	0
Phalops_boschas	2	4	2	0
Euoniticellus_sp.	5	1	1	0
Onitini_Cheironitis_sp_nr_scabrosus	0	0	0	7
Catharsius_calaharicus	3	1	2	0
Heliocopris_japetus	2	1	3	0
Onitis_orthopus	0	0	6	0
Digitonthophagus_gazella	1	2	3	0
Onthophagus_sp_B	1	2	0	0
Copris_vilhenai	0	1	1	2
Tiniocellus_spinipes	1	1	2	0
Onitis_alexis	0	1	3	0
Caccobius_sp_1	3	1	0	0
Copris_elphenor	0	1	0	2
Heliocopris_atropos	1	0	1	0
Onitis_deceptor	0	1	1	0
Hyalonthophagus_alcyon	0	2	0	0
Onthophagus_sp_1	0	2	0	0
Copris_evanidus	0	0	1	0
Metacatharsius_exiguus	1	0	0	0
Oniticellus_formosus	0	0	0	1
Onitis_viridulus	0	0	1	0
Onthophagus_apiciosus	0	0	0	0
Onthophagus_flavolimbatus	1	0	0	0
Onthophagus_sp_5	1	0	0	0
Sisyphus_goryi	0	0	0	1
