	elephant	gaur
Catharsius_sagax_Quenstedt	1	0
Copris_davisoni_Waterhouse	11	0
Copris_repertus_Walker	2	0
Copris_signatus_Walker	5	0
Copris_sp_1	1	0
Caccobius_gallinus_	0	35
Caccobius_meridionalis_	0	120
Caccobius_unicornis_	0	4
Catharsius_sagax_	0	5
Copris_davisoni_	0	28
Copris_repertus_	0	51
Drepanocerus_setosus_Arrow	72	246
Gymnopleurus_melanarius_Harold	9	0
Heliocopris_dominus_Bates	1	0
Liatongus_indicus_Arrow	28	136
Ochicanthon_laetum_	0	44
Oniticellus_cinctus_Fabricius	1	7
Onitis_siva_Gillet	1	0
Onitis_subopacus_Arrow	13	39
Onthophagus_bronzeus_Arrow	58	35
Onthophagus_andrewesi_	0	436
Onthophagus_bifasciatus_	0	23
Onthophagus_bronzeus_	0	106
Onthophagus_brutus_	0	5
Onthophagus_castetsi_	0	23
Onthophagus_centricornis_	0	4
Onthophagus_cervus_Fabricius	56	180
Onthophagus_devagiriensis_	0	27
Onthophagus_elongates_	0	6
Onthophagus_ensifer_Boucomont	1	25
Onthophagus_falsus_Gillet	1	20
Onthophagus_furcillifer_Bates	12	6
Onthophagus_favrei_	0	34
Onthophagus_laevis_	0	44
Onthophagus_lemniscatus_	0	1
Onthophagus_madoqua_Arrow	9	71
Onthophagus_negligens_	0	171
Onthophagus_pacificus_	0	5
Onthophagus_quadridentatus_	0	1
Onthophagus_rectecornutus_Lansberge	6	144
Onthophagus_turbatus_	0	160
Onthophagus_urellus_	0	9
Onthophagus_usurpator_	0	8
Onthophagus_vladimiri_	0	6
Sisyphus_longipes_Olivier	3	0
Sisyphus_neglectus_Gory	18	83
