	buffalo	baboon	chimp	human	elephant	lion	hyena	marshbuck
Pachylomera_femoralis	46	83	65	59	6	10	1	3
Scarabaeus_kwiluensis	10	106	32	126	1	24	2	7
Scarabaeus_goryi	3	5	5	22	0	1	0	0
Sisyphus_crispatus	365	397	135	171	19	28	6	15
Neosisyphus_spinipes	5	1	0	1	0	0	0	0
Gymnopleurus_jacksoni	428	178	119	117	4	51	1	7
Gymnopleurus_virens	5	4	5	16	0	5	0	0
Garreta_baslewskyi	13	2	0	0	0	0	0	0
Chalconotus_aurescens	3	0	2	0	0	1	0	1
Chalconotus_cupreus	42	79	47	25	1	12	4	3
Catharsius_belus	24	34	24	12	1	3	0	2
Catharsius_biconifer	37	37	14	25	0	1	4	1
Catharsius_brevicornis	26	50	47	30	3	0	0	3
Catharsius_dux	98	56	42	61	0	18	0	11
Catharsius_luluensis	12	34	14	23	0	33	6	2
Metacatharsius_basilewskyi	1	6	3	14	0	0	0	0
Metacatharsius_bateke	49	100	40	40	0	33	1	11
Metacatharsius_bidentatus	1	5	1	4	0	2	0	0
Metacatharsius_kindiai	0	2	7	2	2	0	0	0
Metacatharsius_seminulum	2	3	40	2	1	0	0	0
Metacatharsius_simulator	3	5	2	1	0	1	0	0
Copris_angolensis	45	20	18	13	3	1	1	3
Copris_inhalatus	124	158	60	99	29	3	2	4
Pedaria_walteri_(taylori)	35	15	47	36	0	1	0	2
Pedaria_rohani	15	15	8	3	0	1	0	0
Pseudosaproecius_binasus_(validicornis)	1	0	0	2	0	0	0	0
Euoniticellus_triangulatus	9	14	3	2	0	0	0	0
Liatongus_interruptus	7	39	6	14	1	2	1	1
Caccobius_cavatus	2	2	1	1	0	0	0	0
Caccobius_curvicornis	102	126	156	145	2	3	1	2
Caccobius_histrio	250	278	201	118	17	62	12	41
Caccobius_minor	0	7	3	0	0	0	0	0
Caccobius_pilosus	35	22	21	10	2	2	0	3
Caccobius_youngai	19	21	13	15	0	3	0	0
Caccobius_zairensis	22	11	22	15	1	2	0	1
O._aegrotus	1	1	0	0	4	0	0	0
O._altidorsis	68	79	33	11	0	25	9	45
O._benedictorum	4	16	2	3	0	1	0	1
O._bidentifrons	7	9	7	11	0	0	0	1
O._caelator	10	37	8	11	0	6	0	1
O._calchas	24	58	12	29	0	30	4	3
O._crantor	323	519	247	269	3	36	1	6
O._cupreovirens	2	11	63	5	0	0	0	0
O._denudatus	17	27	18	14	0	4	0	5
0._duvivieri	7	10	4	12	0	0	1	0
O._euzeti	2	1	3	0	1	0	0	0
O._fuscatus	7	22	11	11	0	4	0	3
O._geminatus	54	64	31	51	2	1	0	4
0._grandidorsis	9	6	0	3	0	3	0	2
O._impressicollis	287	397	276	203	32	79	1	47
O._indutus	83	419	164	53	3	1	1	26
O._inflatus	0	0	0	0	0	0	0	0
O._juvencus	17	18	25	5	0	3	0	1
O._kassaicus	31	100	89	5	0	7	0	7
O._lefiniensis	0	3	0	1	0	6	1	0
O._macroliberianus_(liberianus)	1	1	0	1	0	2	0	0
O._musculus	6	7	7	5	0	1	0	0
O._ochropygus	7	15	4	2	0	1	1	0
O._picatus	148	292	140	111	5	35	0	2
O._pisciphagus	0	0	0	0	0	0	0	0
O._pullus	5	13	8	1	0	0	0	0
O._reticulatus	22	32	18	27	0	4	2	9
0._sylvestris	6	4	22	2	0	2	1	1
O._tuzetae	8	19	6	6	0	5	3	0
O._umbratus	27	200	69	116	1	40	2	3
O._variegranosus	8	10	11	2	0	16	7	0
O._xanthochlorus	71	240	175	124	1	11	1	12
Proagoderus_monochromus	135	136	92	103	2	27	1	20
Proagoderus_sp._(opulentus)	523	598	408	378	6	75	8	85
Proagoderus_praedentatus	4	6	1	12	0	0	0	0
Proagoderus_speculatus	10	12	7	30	0	0	1	0
Proagoderus_speculicollis	531	404	256	267	8	119	17	40
Diastellopalpus_schultzei	28	87	39	55	0	6	0	6
Milichus_apicalis	24	157	71	50	0	0	0	3
Colobopterus_maculicollis	0	0	1	1	0	0	0	0
Pleuraphodius_levis	0	0	1	0	0	0	0	0
Pleuraphodius_maynei	0	12	41	3	0	0	0	0
Pharaphodius_anthrax	1	2	1	0	0	0	0	0
Pharaphodius_discolor	7	0	0	0	0	0	0	0
Pharaphodius_urostigmoides	0	1	0	0	0	0	0	0
Trichonotulus_jeanneli	4	0	10	0	0	0	0	0
Trichaphodius_cinerascens	0	27	15	1	0	0	0	0
Trichaphodius_humilis	6	41	55	1	0	0	0	0
Nialus_sublividus	2	0	0	0	0	0	0	0
Aphodiopsis_pulawskii	0	1	1	0	0	0	0	0
Adeloparius_ludidipes	2	0	1	0	0	0	0	0
Emadiellus_cruentus	1	0	3	0	0	0	0	0
Blackburneus_detruncatus	1	35	11	0	0	0	0	0
Blackburneus_inornatus	1	0	0	0	0	0	0	0
Blackburneus_novus	1	0	0	0	0	0	0	0
Blackburneus_testaceicolor	1	0	0	0	0	0	0	0
Blackburneus_walteri	0	1	0	0	0	0	0	0
Phaeaphodius_motoi	5	0	0	1	0	0	0	0
Volinus_sexmaculosus	1	2	2	0	0	0	0	0
Koshantschikovius_conicus	0	1	0	0	0	0	0	0
Koshantschikovius_entellus	0	0	5	0	0	0	0	0
Koshantschikovius_janssensi	2	0	1	0	0	0	0	0
Rhyssemus_ritsemae	0	1	0	0	0	0	0	0
Odontolochus_burgeoni	0	0	0	0	0	0	0	0
Odontolochus_gestroi	0	0	0	0	0	0	0	0
