	chimpanzee	human	pig	lion	zebra	tiger	cougar	donkey	waterbuck	moose	bison
Onthophagus_hecate	488	594	171	172	103	132	109	57	71	35	23
Onthophagus_pennsylvanicus	1108	954	201	95	111	85	61	54	52	33	4
Aphodius_distinctus	424	274	91	58	43	35	40	31	15	17	3
Phanaeus_vindex	92	77	18	23	4	12	15	1	1	0	0
Copris_fricator	115	104	28	42	10	20	17	21	1	6	1
Canthon_pilularius	59	60	15	19	8	13	10	4	1	3	1
Melanocanthon_nigricornis	55	75	17	23	10	14	15	9	6	5	0
Aphodius_coloradensis	47	65	26	22	8	7	3	4	11	2	0
Onthophagus_orpheus	34	37	24	7	42	8	1	18	3	7	2
Aphodius_walshii	29	24	6	9	2	2	2	3	0	2	2
Aphodius_erraticus	20	11	3	4	1	2	2	4	3	4	0
Aphodius_grenarius	8	7	3	1	0	4	4	3	3	0	0
Aphodius_fimetarius	0	2	4	0	12	0	0	15	1	1	2
Aphodius_prodromus	6	9	0	2	5	2	0	1	0	3	0
Aphodius_testaceiventris	4	6	0	0	0	0	0	0	0	0	0
