	buffalo	carpincho	mara	guanaco	horse	lion	puma	fox	monkey
trichlium(eu)sp.1	1	0	0	1	0	0	0	2	0
c_puncticollis	0	0	0	0	7	0	0	0	0
ontherus_appendiculatus	0	0	0	11	0	0	1	2	5
canthidium(eucanthidium)sp.1	1	0	0	54	0	67	26	119	8
canthidium(canthidium)sp.2	1	0	0	1	0	2	0	3	0
anomiopus_sp.1	0	0	0	0	0	1	0	0	1
sulcophanaeus_menelas	0	0	0	0	1	0	0	0	3
onthophagus_hirculus	0	0	0	0	1	0	0	0	0
malagoniella_puncticollis	0	1	0	2	0	3	0	1	8
deltochilum_cupreicolle	0	0	0	0	0	0	0	1	0
canthon_lituratus	0	1	0	9	0	0	2	13	7
canthon_sp.2	0	0	0	0	0	4	3	6	2
canthon_sp.4	0	0	0	0	0	3	1	0	0
canthon_sp.5	0	0	0	0	0	1	0	0	0
canthon_sp.6	0	0	0	0	0	0	0	0	0
canthon_quinquemaculatus	0	0	0	0	0	0	0	0	0
aphodius_lividus	0	0	0	0	0	0	0	0	6
aphodius_spp.	2	0	0	2	1	0	0	2	2
