	buffalo	carpincho	mara	guanaco	horse	lion	puma	fox	monkey
trichlium(eu)sp.1	0	0	0	0	0	0	0	0	0
c_puncticollis	0	0	0	0	0	0	0	0	0
ontherus_appendiculatus	0	1	0	1	0	0	2	7	0
canthidium(eucanthidium)sp.1	18	13	4	1	0	12	12	45	3
canthidium(canthidium)sp.2	0	1	0	0	0	1	3	7	0
anomiopus_sp.1	0	1	0	0	0	0	0	0	0
sulcophanaeus_menelas	1	0	0	0	0	1	0	0	0
onthophagus_hirculus	3	3	1	3	0	1	0	0	1
malagoniella_puncticollis	0	2	0	0	0	1	0	1	0
deltochilum_cupreicolle	0	0	0	0	0	1	0	0	0
canthon_lituratus	1	7	5	2	12	6	1	20	0
canthon_sp.2	0	0	0	0	0	0	2	2	2
canthon_sp.4	3	0	0	0	0	5	1	4	0
canthon_sp.5	0	0	0	0	0	0	0	0	0
canthon_sp.6	0	0	0	1	0	13	0	0	0
canthon_quinquemaculatus	0	0	0	0	0	0	0	1	0
aphodius_lividus	0	0	0	0	3	0	0	0	0
aphodius_spp.	0	0	2	0	3	1	0	0	1
