	buffalo	carpincho	fox	guanaco	horse	lion	mara	monkey	puma
Malagoniella_argentina	0	1	0	0	0	5	0	1	1
Malagoniella_puncticollis	5	3	6	3	2	59	1	25	21
Eucranium_arachnoides	0	0	0	0	0	0	0	0	0
Digitonthophagus_gazella	0	0	0	0	0	0	0	1	0
Vulcanocanthon_seminulum	8	1	0	0	3	0	1	4	3
Aphodiues_spec	1	5	0	2	12	0	7	11	0
Canthon_ornatus_bipunctatus	38	5	0	0	3	5	0	29	20
Scybalophagus_plicatipennis	0	1	0	0	0	0	0	0	0
Eutrichillum_hystrix	0	0	0	1	1	0	0	1	0
Nunoidium_argentinum	0	0	0	0	0	0	0	0	0
Scybalophagus_pilosus	0	0	0	0	0	1	0	0	0
Deltochilum_elevatum	0	0	0	0	0	1	0	0	0
Sulcophanaeus_imperator	0	0	0	0	0	0	1	3	0
